Dzongkha translation of common labels used on keyboards.,,
,,
sl.no,English,Dzongkha
1,Language Name,རྫོང་ཁ།
2,Space,ས་སྟོང༌།
3,Tab ,མཆོང་རྟ།
4,Caps Lock,ཚུགས་ལྡེ།
5,Shift,བཤུད་ལྡེ།
6,Delete,གསད་གཏང་།
7,Enter,ཕབ་རྟ།
8,Return,ཕབ་རྟ།
9,Search,འཚོལ།
10,Go,འགྱོ།
11,Send,གཏང་།
12,Join,འཛུལ།
13,Undo,ལོག་བཤུབ།
14,Redo,ལོག་འབད།
15,Route,འགྲུལ་ལམ།
16,Cancel,ཆ་མེད་གཏང་།
17,Emergency Call,འཚུབ་རྡོལ་བརྒྱུད་འཕྲིན།
18,Continue,འཕྲོ་མཐུད།
19,Next,ཤུལ་མམ།
20,Pause,བར་སྒུག།
21,Wait,སྒུག།
